session_id,date,day_of_week,start_time,end_time,hour_of_day,time_of_day,duration_min,topic,topic_type,difficulty_1_5,sleep_hours,energy_before_1_10,distraction_level_1_10,break_before_days,location,device_used,completion_percent,focus_score_1_10,notes
S0001,2024-01-08,Monday,15:10,16:10,15,Afternoon,60,Machine Learning,ML,4,7.8,6,2,0,Study Room,Laptop + Notebook,77,6,"Decent session, some distractions but useful progress"
S0002,2024-01-09,Tuesday,16:00,16:50,16,Afternoon,50,Python Programming,Programming,3,7.5,6,5,0,Study Room,Laptop,68,5,"Low energy, needed more breaks than expected"
S0003,2024-01-10,Wednesday,18:15,19:15,18,Evening,60,German Language,Language,3,7.3,5,2,0,Cafe,Laptop + Notebook,90,6,"Decent session, some distractions but useful progress"
S0004,2024-01-11,Thursday,15:45,16:30,15,Afternoon,45,Linear Algebra,Math,4,7.2,7,4,0,Home Desk,Laptop + Notebook,62,5,"Low energy, needed more breaks than expected"
S0005,2024-01-12,Friday,10:00,11:00,10,Morning,60,SQL Practice,Programming,3,8.5,7,3,0,University Library,Laptop + Notebook,91,8,"High clarity, strong concentration, completed planned tasks"
S0006,2024-01-12,Friday,12:45,14:30,12,Afternoon,105,Generative AI,GenAI,4,8.0,6,5,0,Study Room,Notebook,82,5,"Low energy, needed more breaks than expected"
S0007,2024-01-13,Saturday,18:00,18:45,18,Evening,45,Generative AI,GenAI,4,7.6,4,1,0,Cafe,Laptop + Notebook,82,4,"Low energy, needed more breaks than expected"
S0008,2024-01-14,Sunday,18:15,20:30,18,Evening,135,Deep Learning,ML,5,7.2,8,5,0,Home Desk,Laptop,80,5,"Low energy, needed more breaks than expected"
S0009,2024-01-15,Monday,09:10,09:55,9,Morning,45,Python Programming,Programming,3,5.8,7,3,0,Study Room,Laptop + Notebook,100,7,"Decent session, some distractions but useful progress"
S0010,2024-01-15,Monday,16:45,17:45,16,Afternoon,60,Generative AI,GenAI,4,7.5,7,6,0,Home Desk,Laptop + Notebook,84,5,"Low energy, needed more breaks than expected"
S0011,2024-01-16,Tuesday,08:45,09:20,8,Morning,35,Machine Learning,ML,4,5.8,5,6,0,Study Room,Laptop + Notebook,73,3,"Low energy, needed more breaks than expected"
S0012,2024-01-18,Thursday,11:20,11:55,11,Morning,35,SQL Practice,Programming,3,6.0,3,2,1,Cafe,Notebook,83,5,"Low energy, needed more breaks than expected"
S0013,2024-01-20,Saturday,16:30,17:15,16,Afternoon,45,Big Data Analytics,Data Engineering,4,6.0,5,1,1,Study Room,Tablet,84,6,"Decent session, some distractions but useful progress"
S0014,2024-01-20,Saturday,15:45,18:00,15,Afternoon,135,Data Visualization,Data Analysis,2,7.5,5,2,0,University Library,Laptop,94,7,"Decent session, some distractions but useful progress"
S0015,2024-01-21,Sunday,18:00,18:45,18,Evening,45,Deep Learning,ML,5,7.4,4,4,0,Cafe,Laptop + Notebook,64,3,"Low energy, needed more breaks than expected"
S0016,2024-01-21,Sunday,09:20,10:10,9,Morning,50,SQL Practice,Programming,3,7.4,4,1,0,Home Desk,Laptop + Notebook,100,10,"High clarity, strong concentration, completed planned tasks"
S0017,2024-01-22,Monday,20:00,21:00,20,Evening,60,Statistics,Math,4,6.8,9,5,0,University Library,Tablet,60,5,"Low energy, needed more breaks than expected"
S0018,2024-01-25,Thursday,10:10,11:40,10,Morning,90,Python Programming,Programming,3,5.7,5,1,2,University Library,Tablet,91,7,"Decent session, some distractions but useful progress"
S0019,2024-01-28,Sunday,07:00,07:50,7,Morning,50,Generative AI,GenAI,4,7.4,6,2,2,Home Desk,Tablet,69,5,"Low energy, needed more breaks than expected"
S0020,2024-02-01,Thursday,21:45,22:35,21,Night,50,Data Visualization,Data Analysis,2,7.9,5,5,3,University Library,Tablet,51,2,"Restart after long gap, took time to regain rhythm"
S0021,2024-02-03,Saturday,18:20,19:20,18,Evening,60,Data Visualization,Data Analysis,2,5.7,7,4,1,Cafe,Tablet,84,5,"Low energy, needed more breaks than expected"
S0022,2024-02-04,Sunday,15:30,17:00,15,Afternoon,90,Data Visualization,Data Analysis,2,8.0,4,4,0,Study Room,Laptop + Notebook,78,6,"Decent session, some distractions but useful progress"
S0023,2024-02-06,Tuesday,12:30,13:30,12,Afternoon,60,Machine Learning,ML,4,6.8,7,1,1,Cafe,Notebook,82,7,"Decent session, some distractions but useful progress"
S0024,2024-02-07,Wednesday,12:10,13:55,12,Afternoon,105,Python Programming,Programming,3,7.4,7,4,0,University Library,Notebook,83,7,"Decent session, some distractions but useful progress"
S0025,2024-02-08,Thursday,14:20,16:20,14,Afternoon,120,German Language,Language,3,6.9,5,4,0,Cafe,Laptop,91,6,"Decent session, some distractions but useful progress"
S0026,2024-02-09,Friday,15:10,16:10,15,Afternoon,60,Linear Algebra,Math,4,7.8,9,4,0,Home Desk,Laptop,93,7,"Decent session, some distractions but useful progress"
S0027,2024-02-09,Friday,09:45,12:00,9,Morning,135,Data Visualization,Data Analysis,2,6.9,4,4,0,Study Room,Notebook,95,5,"Low energy, needed more breaks than expected"
S0028,2024-02-10,Saturday,11:10,13:10,11,Morning,120,Generative AI,GenAI,4,6.7,7,5,0,Cafe,Laptop + Notebook,96,6,"Decent session, some distractions but useful progress"
S0029,2024-02-12,Monday,08:10,09:10,8,Morning,60,Generative AI,GenAI,4,6.8,5,2,1,Study Room,Laptop,100,8,"High clarity, strong concentration, completed planned tasks"
